,name,history
0,train_loss_cnn,"[2.108501434326172, 1.90131413936615, 2.073063611984253, 2.9153528213500977, 2.62746000289917]"
1,test_loss_cnn,"[1.899609923362732, 1.9378806352615356, 1.9170984029769897, 2.054441452026367, 2.2625622749328613]"
2,train_acc_cnn,"[0.30214425921440125, 0.3247458040714264, 0.30072176456451416, 0.28465306758880615, 0.27927929162979126]"
3,test_acc_cnn,"[0.32945409417152405, 0.3319932222366333, 0.33728310465812683, 0.2581464350223541, 0.3070249557495117]"
4,train_loss_vgg,"[1.1339951753616333, 1.0303844213485718, 1.0274722576141357, 1.0382431745529175, 1.0157651901245117]"
5,test_loss_vgg,"[1.1074055433273315, 0.9711532592773438, 1.0305393934249878, 1.00111722946167, 1.1124687194824219]"
6,train_acc_vgg,"[0.5524998903274536, 0.5793161392211914, 0.5823718309402466, 0.5825299024581909, 0.5882725119590759]"
7,test_acc_vgg,"[0.5854845643043518, 0.59775710105896, 0.592467188835144, 0.6096064448356628, 0.5285654067993164]"
8,train_loss_resnet,"[4.7290520668029785, 3.6243159770965576, 3.273739814758301, 3.439976453781128, 2.6918742656707764]"
9,test_loss_resnet,"[3.0270891189575195, 2.13317608833313, 2.2128725051879883, 2.4371752738952637, 2.1760506629943848]"
10,train_acc_resnet,"[0.2170591652393341, 0.2223275899887085, 0.23307518661022186, 0.22517253458499908, 0.24761603772640228]"
11,test_acc_resnet,"[0.24841304123401642, 0.2909437119960785, 0.1377486288547516, 0.3298772871494293, 0.33220481872558594]"
12,train_loss_vgg_opt,"[1.3821817636489868, 1.1285400390625, 1.0785396099090576, 1.051797866821289, 1.034961223602295, 1.0210920572280884, 1.0167899131774902, 1.007519245147705, 1.0029752254486084, 0.9954478740692139, 0.9854742884635925, 0.984466552734375, 0.97428297996521, 0.9643592834472656, 0.9694941639900208, 0.969490647315979, 0.9626579880714417, 0.9596819281578064, 0.953091025352478, 0.9544513821601868, 0.9441409707069397, 0.9501405954360962, 0.940334141254425, 0.9438101649284363, 0.9405389428138733, 0.9291035532951355]"
13,test_loss_vgg_opt,"[1.049302101135254, 0.9480583667755127, 0.948186993598938, 0.940025806427002, 0.9301227927207947, 0.9195206165313721, 0.9267315864562988, 0.9093766212463379, 0.9245111346244812, 0.9134261608123779, 0.9245204329490662, 0.9093354940414429, 0.904660165309906, 0.9022526144981384, 0.903060793876648, 0.8958354592323303, 0.9239919781684875, 0.9047163724899292, 0.9018471837043762, 0.9021924734115601, 0.8845661282539368, 0.8992632031440735, 0.8982698917388916, 0.8914792537689209, 0.8943376541137695, 0.890455961227417]"
14,train_acc_vgg_opt,"[0.4811653792858124, 0.5507085919380188, 0.5653548240661621, 0.5773141384124756, 0.5769980549812317, 0.5857436656951904, 0.5820557475090027, 0.5855329036712646, 0.5856382846832275, 0.5936462879180908, 0.5950687527656555, 0.5961751341819763, 0.5934882164001465, 0.5983878374099731, 0.5983352065086365, 0.6015489101409912, 0.601759672164917, 0.6048153638839722, 0.6069226861000061, 0.6091881394386292, 0.6100310683250427, 0.6112955212593079, 0.6115589141845703, 0.6081344485282898, 0.6166692972183228, 0.612770676612854]"
15,test_acc_vgg_opt,"[0.5856961607933044, 0.6151078939437866, 0.6132035255432129, 0.6140499114990234, 0.6184934377670288, 0.6223021745681763, 0.6197630167007446, 0.6288616061210632, 0.6197630167007446, 0.6244181394577026, 0.6182818412780762, 0.6294963955879211, 0.6286500096321106, 0.6265340447425842, 0.6250528693199158, 0.6263224482536316, 0.621878981590271, 0.6184934377670288, 0.626110851764679, 0.6299195885658264, 0.6324587464332581, 0.6256876587867737, 0.6258992552757263, 0.6343631148338318, 0.6278036236763, 0.6311891674995422]"
