,name,history
0,train_loss_cnn,"[0.653523325920105, 0.5964949727058411, 0.5671085119247437, 0.5373194813728333, 0.5291971564292908]"
1,test_loss_cnn,"[0.5645833611488342, 0.5453596711158752, 0.5327637791633606, 0.4893009066581726, 0.4685840308666229]"
2,train_acc_cnn,"[0.6341604590415955, 0.6823139190673828, 0.7074443101882935, 0.7267267107963562, 0.7356303930282593]"
3,test_acc_cnn,"[0.7039780020713806, 0.7234447598457336, 0.7403724193572998, 0.7611087560653687, 0.7687261700630188]"
4,train_loss_vgg,"[0.2604529559612274, 0.2223096340894699, 0.21264240145683289, 0.20806756615638733, 0.2032901495695114]"
5,test_loss_vgg,"[0.19382712244987488, 0.19592837989330292, 0.19614601135253906, 0.19287797808647156, 0.1891985684633255]"
6,train_acc_vgg,"[0.8832516670227051, 0.905168354511261, 0.9086982011795044, 0.9126495122909546, 0.9132290482521057]"
7,test_acc_vgg,"[0.9208633303642273, 0.9187473654747009, 0.9225561022758484, 0.9206517338752747, 0.9263647794723511]"
8,train_loss_resnet,"[0.7479128837585449, 0.6973804235458374, 0.6925324201583862, 0.6923070549964905, 0.6921868324279785]"
9,test_loss_resnet,"[0.670896053314209, 0.6916486024856567, 0.6915239691734314, 0.6913195848464966, 0.6914219260215759]"
10,train_acc_resnet,"[0.5252094268798828, 0.5315842032432556, 0.5203624963760376, 0.5212581157684326, 0.5233128070831299]"
11,test_acc_resnet,"[0.5476089715957642, 0.529411792755127, 0.529411792755127, 0.5302581191062927, 0.529411792755127]"
12,train_loss_vgg_opt,"[0.37250012159347534, 0.2778080701828003, 0.2594440281391144, 0.2495785504579544, 0.2508606016635895, 0.24120618402957916, 0.2371191829442978, 0.23812690377235413, 0.2286985069513321, 0.2229081690311432, 0.22494176030158997, 0.2217247635126114, 0.22266089916229248, 0.21878953278064728, 0.21388928592205048, 0.21340195834636688, 0.21645653247833252, 0.21378730237483978, 0.21619373559951782, 0.20984451472759247]"
13,test_loss_vgg_opt,"[0.22755776345729828, 0.20115354657173157, 0.195854052901268, 0.18942894041538239, 0.18579117953777313, 0.19070225954055786, 0.18550904095172882, 0.17953306436538696, 0.1794750839471817, 0.18172720074653625, 0.17713874578475952, 0.1725534349679947, 0.17248132824897766, 0.17217501997947693, 0.17259946465492249, 0.1729268878698349, 0.17192131280899048, 0.16969922184944153, 0.17133769392967224, 0.17050564289093018]"
14,train_acc_vgg_opt,"[0.8307254910469055, 0.8806174397468567, 0.8883093595504761, 0.8938938975334167, 0.8929455876350403, 0.895948588848114, 0.8996891379356384, 0.9000579714775085, 0.9041673541069031, 0.9070649743080139, 0.9061166644096375, 0.9087508320808411, 0.904694139957428, 0.9057478308677673, 0.9099099040031433, 0.9094357490539551, 0.9075918197631836, 0.9084874391555786, 0.9088035225868225, 0.9110162854194641]"
15,test_acc_vgg_opt,"[0.9140922427177429, 0.9240372180938721, 0.920440137386322, 0.9250952005386353, 0.9257299900054932, 0.9265763759613037, 0.926999568939209, 0.9289039373397827, 0.9289039373397827, 0.9272111654281616, 0.9295387268066406, 0.9297503232955933, 0.9297503232955933, 0.9312314987182617, 0.9299619197845459, 0.9297503232955933, 0.9305967092514038, 0.9308083057403564, 0.931654691696167, 0.9320778846740723]"
