,name,history
0,train_loss_cnn,"[1.5535802841186523, 1.4132061004638672, 2.821967363357544, 12.358169555664062, 30.97452735900879]"
1,test_loss_cnn,"[1.377416968345642, 1.4437534809112549, 7.263338565826416, 24.676599502563477, 27.50556182861328]"
2,train_acc_cnn,"[0.41910332441329956, 0.44186291098594666, 0.3664190471172333, 0.3003529906272888, 0.3141035735607147]"
3,test_acc_cnn,"[0.45429539680480957, 0.4591620862483978, 0.29919594526290894, 0.19911129772663116, 0.22619551420211792]"
4,train_loss_vgg,"[0.704704761505127, 0.6007023453712463, 0.5926430225372314, 0.6095954179763794, 0.6203613877296448]"
5,test_loss_vgg,"[0.5485671162605286, 0.583588182926178, 0.5719620585441589, 0.5538928508758545, 0.6080402135848999]"
6,train_acc_vgg,"[0.7661345601081848, 0.7999578714370728, 0.8044360280036926, 0.8013803362846375, 0.7992729544639587]"
7,test_acc_vgg,"[0.815700352191925, 0.8176047205924988, 0.8017351031303406, 0.8239526152610779, 0.8042742013931274]"
8,train_loss_resnet,"[4.68515157699585, 3.080674886703491, 2.575958013534546, 3.0049474239349365, 2.622459888458252]"
9,test_loss_resnet,"[2.7848641872406006, 3.5025436878204346, 2.0735042095184326, 1.7037087678909302, 2.3214683532714844]"
10,train_acc_resnet,"[0.2910805642604828, 0.30556872487068176, 0.3154206871986389, 0.3035140335559845, 0.3211105763912201]"
11,test_acc_resnet,"[0.1713922917842865, 0.4272111654281616, 0.4276343584060669, 0.32141345739364624, 0.28946253657341003]"
12,train_loss_vgg_opt,"[0.8259500861167908, 0.6657958030700684, 0.6376234889030457, 0.6111648082733154, 0.6059670448303223, 0.6040322780609131, 0.5977475047111511, 0.5935689210891724, 0.5873568058013916, 0.5888684988021851, 0.5752314329147339, 0.5796985030174255, 0.5708919763565063, 0.5746152400970459, 0.5680115818977356, 0.572769284248352, 0.5658251047134399, 0.5681976079940796, 0.563112735748291, 0.5631248950958252, 0.5588752627372742, 0.5562788844108582, 0.5540162324905396, 0.5555288195610046, 0.5526624917984009, 0.5546690225601196, 0.554987370967865, 0.5525924563407898]"
13,test_loss_vgg_opt,"[0.546006441116333, 0.5244749188423157, 0.5206471085548401, 0.5160740613937378, 0.4977670907974243, 0.4994085133075714, 0.5091521143913269, 0.5003047585487366, 0.49697163701057434, 0.5072311758995056, 0.49034735560417175, 0.5018013119697571, 0.49351176619529724, 0.4916914105415344, 0.4900866746902466, 0.4887446463108063, 0.4936528205871582, 0.48719316720962524, 0.4910936653614044, 0.4955199360847473, 0.4876194894313812, 0.4855550527572632, 0.48553267121315, 0.48738858103752136, 0.48796018958091736, 0.4925401210784912, 0.4861818253993988, 0.48618069291114807]"
14,train_acc_vgg_opt,"[0.7272008657455444, 0.775143563747406, 0.7840471863746643, 0.7906327247619629, 0.7937411069869995, 0.7910541892051697, 0.7990095615386963, 0.7956377267837524, 0.8001685738563538, 0.8000631928443909, 0.803909182548523, 0.804119884967804, 0.8059111833572388, 0.8043833374977112, 0.8066487312316895, 0.8071755766868591, 0.8102839589118958, 0.8072282671928406, 0.8084927201271057, 0.8080185651779175, 0.8103366494178772, 0.8101258873939514, 0.809862494468689, 0.8121805787086487, 0.8120752573013306, 0.813023567199707, 0.8119698762893677, 0.8124440312385559]"
15,test_acc_vgg_opt,"[0.8146424293518066, 0.8267033696174622, 0.8247990012168884, 0.8305120468139648, 0.8300888538360596, 0.8353787660598755, 0.8296656608581543, 0.8372831344604492, 0.8305120468139648, 0.8286076784133911, 0.8343207836151123, 0.8307236433029175, 0.8353787660598755, 0.833897590637207, 0.8334743976593018, 0.8332628011703491, 0.8334743976593018, 0.836225152015686, 0.8355903625488281, 0.836859941482544, 0.8410918116569519, 0.8322048187255859, 0.8358019590377808, 0.8387643098831177, 0.8381295204162598, 0.833897590637207, 0.838552713394165, 0.8379179239273071]"
