,year,month,night_safari,river_wonders,singapore_zoo,wet_bulb_temperature,no_of_rainy_days,mean_rh,total_rainfall,mean_sunshine_hrs,mean_temp
0,2022,2022-08-01,52.7,63.8,88.8,25.072311827956987,15.0,77.4,141.4,5.5,28.1
1,2022,2022-07-01,59.1,65.5,101.2,25.43911290322581,16.0,76.8,145.2,6.2,28.6
2,2022,2022-06-01,54.6,76.7,105.5,25.118055555555557,17.0,79.1,211.8,4.7,27.9
3,2022,2022-05-01,40.3,67.7,92.6,25.881317204301077,12.0,76.5,102.0,6.7,29.2
4,2022,2022-04-01,29.9,52.8,66.2,25.375416666666666,18.0,80.0,239.6,5.2,28.1
5,2022,2022-03-01,29.5,63.4,85.1,25.253225806451614,21.0,79.2,163.2,6.4,28.1
6,2022,2022-02-01,18.9,48.1,65.8,24.64985119047619,16.0,80.3,175.0,5.9,27.3
7,2022,2022-01-01,24.4,56.6,73.2,24.380913978494625,9.0,77.4,99.8,8.3,27.4
8,2021,2021-12-01,48.2,96.8,147.8,24.95604838709677,15.0,79.7,119.6,5.4,27.7
9,2021,2021-11-01,19.0,47.0,70.6,25.111944444444443,23.0,81.7,312.4,4.9,27.6
10,2021,2021-10-01,18.9,40.5,64.5,25.493682795698923,14.0,78.3,177.0,6.2,28.5
11,2021,2021-09-01,21.7,50.4,90.8,25.195833333333333,14.0,77.3,205.4,6.4,28.3
12,2021,2021-08-01,16.2,37.5,67.8,24.96317204301075,24.0,80.4,293.6,4.8,27.6
13,2021,2021-07-01,19.3,35.9,77.4,25.36922043010753,12.0,76.5,195.8,6.8,28.6
14,2021,2021-06-01,21.9,42.5,65.0,25.489305555555553,20.0,77.8,93.4,6.5,28.5
15,2021,2021-05-01,16.2,31.3,44.9,25.861424731182797,13.0,79.3,245.8,6.0,28.7
16,2021,2021-04-01,27.8,47.7,64.1,25.122500000000002,14.0,77.4,290.4,6.8,28.2
17,2021,2021-03-01,46.4,77.2,115.1,24.68938172043011,14.0,76.6,182.4,7.3,27.9
18,2021,2021-02-01,21.7,42.2,67.2,23.745386904761904,2.0,73.8,1.0,8.2,27.3
19,2021,2021-01-01,22.4,41.0,54.7,23.73333333333333,17.0,82.6,692.8,4.2,26.0
20,2020,2020-12-01,64.4,119.7,169.2,24.651612903225807,20.0,81.1,253.2,5.2,27.2
21,2020,2020-11-01,25.1,60.6,87.8,24.803055555555556,19.0,81.7,220.6,4.0,27.2
22,2020,2020-10-01,28.8,61.7,100.2,24.916263440860217,16.0,75.4,78.8,4.3,28.3
23,2020,2020-09-01,20.8,64.7,92.3,24.719305555555557,18.0,79.0,150.2,4.8,27.5
24,2020,2020-08-01,21.8,39.0,77.6,25.113844086021505,12.0,76.8,103.4,6.4,28.3
25,2020,2020-07-01,2.4,32.1,67.7,25.021639784946235,22.0,78.2,140.8,5.7,27.9
26,2020,2020-06-01,0.0,0.0,0.0,25.440416666666664,21.0,80.2,233.8,4.3,28.1
27,2020,2020-05-01,0.0,0.0,0.0,26.02405913978495,16.0,79.1,255.6,5.7,28.9
28,2020,2020-04-01,1.0,1.5,3.6,25.509722222222223,12.0,76.4,188.0,7.1,28.9
29,2020,2020-03-01,23.8,30.1,64.4,25.122580645161293,8.0,75.2,108.8,7.6,28.6
30,2020,2020-02-01,42.7,23.7,49.5,24.543390804597703,8.0,76.0,65.0,8.3,27.9
31,2020,2020-01-01,112.3,75.0,170.7,24.690725806451614,6.0,77.9,88.4,7.1,27.7
32,2019,2019-12-01,106.2,93.9,192.4,24.581317204301076,14.0,83.9,421.5,4.8,26.7
