Theme: Society,,,
Subject: Culture and Recreation,,,
"Topic: The Arts, Sports, Interest Groups and Visitors to Places of Interest",,,
"Table Title: Visitors To Selected Places Of Interest, Monthly",,,
,,,
Data last updated: 19/02/2024,,,
"Source: NATIONAL HERITAGE BOARD, SCIENCE CENTRE SINGAPORE, MANDAI WILDLIFE GROUP, JURONG GARDENS PTE LTD, NATIONAL PARKS BOARD, SINGAPORE ART MUSEUM",,,
,,,
Data Series,Night Safari (Thousand),River Wonders (Thousand),Singapore Zoological Gardens (Thousand)
  2023 Dec,73.5,81.1,134.7
  2023 Nov,55.1,73,116.5
  2023 Oct,74.1,90.7,110.1
  2023 Sep,63.8,70.8,107.9
  2023 Aug,119.2,107.8,145.1
  2023 Jul,115.8,104.3,145.1
  2023 Jun,76.9,77.2,127.7
  2023 May,71.7,49.3,114.6
  2023 Apr,73.7,69.9,119.1
  2023 Mar,58.1,66.6,103.6
  2023 Feb,49.2,47.7,76.2
  2023 Jan,56.2,57.6,83.9
  2022 Dec,70.8,79.6,131.1
  2022 Nov,44.9,57.4,88.1
  2022 Oct,56.9,60.4,110.8
  2022 Sep,52.2,60.7,94
  2022 Aug,52.7,63.8,88.8
  2022 Jul,59.1,65.5,101.2
  2022 Jun,54.6,76.7,105.5
  2022 May,40.3,67.7,92.6
  2022 Apr,29.9,52.8,66.2
  2022 Mar,29.5,63.4,85.1
  2022 Feb,18.9,48.1,65.8
  2022 Jan,24.4,56.6,73.2
  2021 Dec,48.2,96.8,147.8
  2021 Nov,19,47,70.6
  2021 Oct,18.9,40.5,64.5
  2021 Sep,21.7,50.4,90.8
  2021 Aug,16.2,37.5,67.8
  2021 Jul,19.3,35.9,77.4
  2021 Jun,21.9,42.5,65
  2021 May,16.2,31.3,44.9
  2021 Apr,27.8,47.7,64.1
  2021 Mar,46.4,77.2,115.1
  2021 Feb,21.7,42.2,67.2
  2021 Jan,22.4,41,54.7
  2020 Dec,64.4,119.7,169.2
  2020 Nov,25.1,60.6,87.8
  2020 Oct,28.8,61.7,100.2
  2020 Sep,20.8,64.7,92.3
  2020 Aug,21.8,39,77.6
  2020 Jul,2.4,32.1,67.7
  2020 Jun,0,0,0
  2020 May,0,0,0
  2020 Apr,1,1.5,3.6
  2020 Mar,23.8,30.1,64.4
  2020 Feb,42.7,23.7,49.5
  2020 Jan,112.3,75,170.7
  2019 Dec,106.2,93.9,192.4
  2019 Nov,81.4,65.9,132.2
  2019 Oct,99.2,82,164
  2019 Sep,83.2,64.1,146.4
  2019 Aug,158.3,108.1,250.4
  2019 Jul,141.1,89.8,217.3
  2019 Jun,115.9,85.8,181.7
  2019 May,111,75,145.1
  2019 Apr,101.9,74.4,155.4
  2019 Mar,96.4,71.1,149.6
  2019 Feb,113,81.2,184.4
  2019 Jan,110.5,70.5,148.8
  2018 Dec,109.6,98.9,223.4
  2018 Nov,87.4,65.5,144.5
  2018 Oct,96.2,75,158.4
  2018 Sep,86.7,74.4,159.7
  2018 Aug,156,105.4,245.5
  2018 Jul,141.1,93.5,247.7
  2018 Jun,114.2,83.4,167.7
  2018 May,112.4,76.6,149.5
  2018 Apr,98.3,71.4,153
  2018 Mar,109.6,74.9,158.8
  2018 Feb,114.4,71.8,163.1
  2018 Jan,103.5,67.5,137.8
  2017 Dec,113.5,102,195.4
  2017 Nov,75.3,60.4,116.3
  2017 Oct,103.5,77.5,152.1
  2017 Sep,88.6,64.9,134.1
  2017 Aug,139.8,110.8,200.9
  2017 Jul,130,91.9,187.5
  2017 Jun,112.6,87.3,160.2
  2017 May,109.7,78.8,148.2
  2017 Apr,99.9,74.6,156.6
  2017 Mar,92.6,70.4,145.5
  2017 Feb,92.5,60.8,133.1
  2017 Jan,103.8,73.1,161.9
  2016 Dec,98,101.9,198.5
  2016 Nov,67.4,56.9,117.4
  2016 Oct,85.4,75.6,134.9
  2016 Sep,75,55.1,119
  2016 Aug,132.8,95.8,188.9
  2016 Jul,130,89.5,183.8
  2016 Jun,99.3,73.8,144.5
  2016 May,101,67.5,149.2
  2016 Apr,81.7,54.4,128
  2016 Mar,91,60.6,144.2
  2016 Feb,91.4,57.6,153.7
  2016 Jan,97.5,54.2,134.9
  2015 Dec,97,90.3,187.4
  2015 Nov,74.6,59.4,125.8
  2015 Oct,87.2,54.7,106.2
  2015 Sep,80.7,56.3,115.8
  2015 Aug,137.3,119.7,223.3
  2015 Jul,127.1,82.8,184.5
  2015 Jun,93.9,87.1,190.1
  2015 May,101.2,73.3,153.1
  2015 Apr,78.8,56.1,133.3
  2015 Mar,80.4,53.7,127.9
  2015 Feb,106.1,59.2,156.3
  2015 Jan,94.7,50.5,129.7
  2014 Dec,97.1,91,164.5
  2014 Nov,69.9,85.6,125.4
  2014 Oct,96.6,84.7,129.9
  2014 Sep,77.6,68.3,118.3
  2014 Aug,136.8,94.4,169.4
  2014 Jul,122.6,93.3,155.7
  2014 Jun,98.7,118,141.7
  2014 May,101.8,94.9,138.5
  2014 Apr,87.5,86.1,132.9
  2014 Mar,89.2,123,131.5
  2014 Feb,96.4,102.2,134.7
  2014 Jan,105.7,103,135.7
  2013 Dec,110,168.7,183.9
  2013 Nov,78,77.6,127.4
  2013 Oct,94.5,63.3,132.2
  2013 Sep,77.9,65.8,127.4
  2013 Aug,136.7,86.7,182.9
  2013 Jul,116.9,62.2,175.4
  2013 Jun,96.8,78.7,143.2
  2013 May,96.6,58.3,135.4
  2013 Apr,81.8,42,127.3
  2013 Mar,97.2,na,180.3
  2013 Feb,88.2,na,136.7
  2013 Jan,93.3,na,152
  2012 Dec,102.2,na,233
  2012 Nov,76.9,na,124.8
  2012 Oct,91.1,na,126.5
  2012 Sep,82.2,na,126.3
  2012 Aug,119,na,163.5
  2012 Jul,114.3,na,155.9
  2012 Jun,103.7,na,155.8
  2012 May,95.8,na,138.3
  2012 Apr,93.1,na,143.7
  2012 Mar,89.5,na,139.3
  2012 Feb,92,na,108.4
  2012 Jan,103.7,na,141
  2011 Dec,97.9,na,173.7
  2011 Nov,78.7,na,121.9
  2011 Oct,90.4,na,134.4
  2011 Sep,79.6,na,117.9
  2011 Aug,115.1,na,149.8
  2011 Jul,123.8,na,169.5
  2011 Jun,92,na,155.7
  2011 May,91.4,na,140.4
  2011 Apr,90.5,na,146.2
  2011 Mar,78.6,na,134.3
  2011 Feb,83,na,131.9
  2011 Jan,77.4,na,94.5
,,,
Footnotes:,,,
Mandai Bird Paradise (Thousand):,,,
"Mandai Bird Paradise was officially opened on 8 May 2023.  From 21 April 2023, Mandai Bird Paradise welcomed visitors for preview.",,,
Night Safari (Thousand):,,,
"The place of interest was closed from April to June 2020 due to measures imposed during the global COVID-19 pandemic.  During periods of heightened alert due to COVID-19, the place of interest operated at a reduced capacity in line with prevailing government guidelines.",,,
River Wonders (Thousand):,,,
"River Safari was officially opened on 3 April 2013.  The place of interest was closed from April to June 2020 due to measures imposed during the global COVID-19 pandemic.  During periods of heightened alert due to COVID-19, the place of interest operated at a reduced capacity in line with prevailing government guidelines.  It has been renamed as River Wonders wef 13 October 2021. ",,,
Singapore Zoological Gardens (Thousand):,,,
"The place of interest was closed from April to June 2020 due to measures imposed during the global COVID-19 pandemic.  During periods of heightened alert due to COVID-19, the place of interest operated at a reduced capacity in line with prevailing government guidelines.",,,
,,,
Notation:,,,
na   not available or not applicable,,,
nec  not elsewhere classified,,,
nes  not elsewhere specified,,,
 -     nil or negligible or not significant,,,
Notes,,,
Numbers may not add up to the totals due to rounding.,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,
Values are shown in Singapore dollars (unless otherwise specified).,,,
,,,
Generated by: SingStat Table Builder,,,
Date generated: 26/02/2024,,,
Contact: info@singstat.gov.sg,,,
